TITLE,MODEL,DESCRIPTION,CONDITION,STATUS,PRICE_LIST,PRICE
Karcher - Aspirator cu suflanta BLV 36 240,1.444-170.0,"Aspiratorul cu suflantă BLV 36-240 Battery suflă, aspiră și mărunțește resturile din grădină, inclusiv pe cele umede. Tubul de aspirare și cel de suflare se pot îndepărta separat.,Aparatul vine fara baterie si incarcator,cod comanda: 1.444-170.0",Nou,La comanda,1555.0,"1 120,00"
Karcher - Pompa submersibila de mare adancime BP 10,BP10,"În cazul inundaţiilor sau pentru pomparea căminelor inundate de ape subterane, pentru drenarea altor spaţii inundate, pentru irigarea grădinilor prin inundare.,cod comanda: BP10",Nou,,1430.0,"1 100,00"
Karcher - Curatitor cu apa sub presiune K4 Compact,1.637-500.0,"Aparatul de spalat cu presiune Karcher K 4 Compact Home pentru utilzarea ocazională, poate fi depozitat și transportat ușor. Randament 30 m²/h.,Presiune : 130 bari,Pentru curatarea cu spuma puternica va recomandam sa achizitionati accesoriul Fj 6 (Pentru autoturisme, motociclete, etc. ),click aici pentru naviga spre produs!,cod comanda: 1.637-500.0",Nou,La comanda,1400.0,"1 100,00"
Karcher - Curatitor cu abur SC4 easy,1.512-450.0,"Aparatul de curatat cu abur Kärcher SC 4 cu duza pentru podele EasyFix si rezervor de apa detasabil, pentru reumplere continua. Solutia simpla pentru curatenia permanenta.,cod comanda: 1.512-450.0",Nou,LIPSA STOC ,1195.0,"1 098,00"
Karcher - Curatitor cu apa sub presiune  K 4 Compact UM Car *EU,1.679-404.0,"Aparatul de spalat cu presiune Karcher ,K 4 Compact UM Car *EU, pentru utilzarea ocazională, poate fi depozitat și transportat ușor. Randament 30 m²/h.,Presiune : 130 bari,click aici pentru naviga spre produs!,cod comanda: 1.679-404.0,Modelul Car vine in plus cu perie de spalat masini si bidonas de spumare ",Nou,in stoc ,1400.0,"1 090,00"
Karcher - Drujba pe acumulator CNS 18 30,1.444-001.0,"Ușor de utilizat, versatilă și perfectă pentru întreținerea copacilor: drujba cu acumulator CNS 18-30 Battery cu sistem de întindere a lanțului fără unelte.,Drujba vine fara baterie si incarcator,cod comanda: 1.444-001.0",Nou,La comanda,1244.0,"1 060,00"
Karcher - Aparat de curatat pardoseala Fp 303,1.056-820.0,"Curatitor pentru pardoseli FP 303 asigură un rezultat impecabil al procesului de polisare datorită numărului crescut de turaţii, de exemplu pe parchet, laminat, plută, piatră, linoleum sau PVC etc.,cod comanda: 1.056-820.0",Nou,,1065.0,"1 030,00"
Karcher - Drujba pe acumulator CNS 36 35,1.444-050.0,"Cu o viteză excepțională a lanțului și o lungime optime a lamei, drujba cu acumulator CNS 36-35 este ideală pentru sarcinile de întreținere a copacilor.,Drujba vine fara baterie si incarcator,cod comanda: 1.444-050.0",Nou,La comanda,1178.0,"1 024,00"
Karcher - Aspirator uscat - umed WD 1 box set,1.198-301.0,"Aspiratorul multifuncțional WD 1 cu acumulator. Aparatul este compatibil cu platforma de acumulatori de 18 V, pachetul include accesorii pentru curatarea masinii.,cod comanda: 1.198-301.0",Nou,La comanda,1317.0,"1 018,00"
Karcher - APARAT DE SPĂLAT CU PRESIUNE K 3 POWER CONTROL HOME,1.676-103.0,"Datorită aplicației Kärcher Home & Garden, care ofera informatii utile pentru rezultate de curățare și mai bune și transformă utilizatorul într-un expert în curățenie. Aplicația oferă, de asemenea, mai multe avantaje, care includ informații despre dispozitiv și portalul Kärcher Service. Nivelul de presiune potrivit pentru aplicație poate fi setat direct pe lancea de pulverizare și verificat pe afișajul pistolului de pulverizare G 120 Q Power Control - pentru control maxim și presiunea ideală pentru fiecare suprafață. Comutarea de la presiune înaltă la modul detergent se poate face fără schimbarea lancei de pulverizare. Detergentul poate fi aplicat rapid, simplu și confortabil din rezervorul de detergent integrat. K 3 Power Control de la Kärcher impresionează, de asemenea, cu un mâner telescopic extensibil pentru transport și depozitare confortabil, un suport pentru o stabilitate mai mare, locuri pentru accesorii și cablu, precum și sistemul Kärcher ,Quick Connect,. Baza aparatului poate fi folosita și ca al doilea mâner de transport, făcând dispozitivul foarte ușor de ridicat pe un raft sau de încărcat într-un portbagaj. Kit-ul Home garantează curățarea fără stropi a zonelor mai mari din jurul casei cu dispozitivul T1 și include detergentul „Patio & Deck” la 500 ml.,1.676-103.0",Nou,la comanda ,1282.0,"1 010,00"
Karcher - Curatitor cu apa sub presiune K4 Universal,1.679-300.0,"Aparatul de spalat cu presiune Karcher K 4 Universal pentru utilzarea ocazională, poate fi depozitat și transportat ușor. Randament 30 m²/h.,Presiune : 130 bari,Pentru curatarea cu spuma puternica va recomandam sa achizitionati accesoriul Fj 6 (Pentru autoturisme, motociclete, etc. ),click aici pentru naviga spre produs!,cod comanda: 1.679-300.0",Nou,la comanda ,1292.0,"1 000,00"
Karcher - Pompa de apa murdara BTSZ 600 SPECIAL, BTSZ600 SPECIAL,"Pompa poate fi utilizată eficient pentru transportarea apei uzate brute cu conţinut de impurităţi de pe şantiere sau a apei cu conţinut de particule flotante şi obiecte solide.,cod comanda: ,BTSZ 600 SPECIAL",Nou,,1300.0,"1 000,00"
Karcher - Aparat de spalat cu presiune KHB 5,1.328-100.0,"Include acumulator de 18 V Kärcher și încărcător rapid, dispozitivul de spalat cu presiune, pentru o curățare rapidă intermediară, fără a necesita o conexiune la alimentare.,cod comanda: 1.328-100.0",Nou,La comanda,1111.0,"990,00"
Karcher - Aspirator cu spalare SE 4001,1.081-130.0,"Aspiratoare cu spalare tip spray-extractie pentru curatarea de baza a covoarelor si pardoselilor dure. Datorita accesoriilor suplimentare se poate utiliza si ca aspirator uscat/umed.,Cod de comanda:1.081-130.0",Nou,la comanda ,1555.0,"990,00"
Karcher - Aparat de curatat terase PCL 4,1.644-000.0,"Aparatul de curăţat terase şi suprafeţe din piatră PCL 4 indepartează murdărirea în mod temeinic și uniform, datorită periilor rotative și a jetului de apa distribuit de aparat.,cod comanda: 1.644-000.0",Nou,In stoc ,1255.0,"960,00"
Karcher - Aspirator pentru geamuri profesional WV 10 Advanced,1.633-560.0,"Multumita design-ului inovator, noul model profesional de aspirator de geamuri, WVP 10 Advanced, curata neintrerupt toate tipurile de suprafete cat si deasupra capului.,Modelul advanced vine in plus cu 2 baterii si o statie de incarcare,cod comanda: , 1.633-560.0",Nou,in stoc ,1125.0,"950,00"
Karcher - Aparat pentru indepartarea buruienilor WRE 5 battery set,1.445-245.0,"Setul WRE 18-55 Battery Set pentru îndepărtarea mușchiului și a buruienilor conține acumulator și încărcător. Ideal pentru poteci, terase și intrări.,Battery set contine baterie si incarcator,cod comanda: 1.445-245.0",Nou,La comanda,1112.0,"913,00"
Karcher - Masina de tuns iarba LMO BATTERY 18-33,1.444-400.0,"Greutatea sa redusă și manevrabilitatea extremă permit mașinii de tuns iarba cu acumulatori LMO 18-33 Battery să fie utilizată fără efort. Cea mai ușoară modalitate de tuns iarba.,Masina vine fara baterie si incarcator,cod comanda: 1.444-400.0",Nou,La comanda,952.0,"900,00"
Karcher - Foarfeca de tuns gardul viu HGE 18-45 battery set,1.444-231.0,"Foarfeca de tuns gardul viu HGE 18-45.  Greutate redusă pentru mai mult confort și tăieri precise datorită lamei diamantate.,Battery Set vine în set cu un acumulator și cu un încărcător rapid.,cod comanda: 1.444-231.0",Nou,In stoc ,1032.0,"899,00"
Karcher - Bobina cu furtun CR 7.220 cu tractare automata,2.645-218.0,"Cutie de furtun Premium CR 7.220 Automata cu bobinare si debobinare automata usoara a furtunului. Rotatii de la 0º - 180º, opritor ajustabil pentru ax si consola de perete plata, compacta.,Cod de comanda:2.645-218.0",Nou,La comanda,1150.0,"890,00"
Karcher - Foarfeca de tuns gardul viu HGE 18-50 battery set,1.444-241.0,"Setul cu foarfeca de tuns gardul viu cu acumulator HGE 18-50.  Mânerul său rotativ la 180° asigură confort deplin în timpul utilizării.,Battery Set include un acumulator și un încărcător rapid.,cod comanda: 1.444-241.0",Nou,La comanda,999.0,"880,00"
Karcher - Mop electric Fc 3 cu acumulator,1.055-300.0,"Mopul electric cu acumulator FC 3 Cordless curăță podelele cu un adaos constant de apă curată datorită funcției inovatoare de auto-curățare.,cod comanda: 1.055-300.0",Nou,,1219.0,"860,00"
Karcher - Bp 3 Home hidrofor, 1.645-365.0,"Puternica pompa BP 3 Home booster cu un container integrat de compensare a presiunii pompează automat apă de serviciu cu costuri reduse în întreaga casă.,cod comanda: 1.645-356.0",Nou,LA COMANDA -LIVRARE IN 4 ZILE,1100.0,"850,00"
Karcher - CURATITOR CU APA PORTABIL CU ACUMULATOR OC 3 PLUS CAR,1.680-034.0,"Aparatul de spălat cu presiune Kärcher cu baterie ,Li-Ion, și rezervor de apă de 7 litri pentru utilizare in calatorie. Cu adaptor auto pentru o perioadă extinsă de utilizare.,cod comanda: ,1.680-034.0",Nou,in stoc ,883.0,"840,00"
Karcher - Aspirator cu suflanta BLV 18 200,1.444-100.0,"Aspirare, suflare și mulcire - având toate aceste funcții, aspiratorul cu suflantă BLV 18-200 Battery devine indispensabil pentru orice grădină.,Aparatul vine fara baterie si incarcator,cod comanda: 1.444-100.0",Nou,La comanda,966.0,"840,00"
Karcher - Bp 4 garden set - pompa pentru gradina,1.645-352.0,"Setul de gradina BP 4 Garden Set, include un furtun de aspirare setat astfel incat pompa de gradina, rezistenta si puternica, cu termostat integrat, sa poata fi pusa imediat in functiune la udarea gradinii.,cod comanda: ,1.645-352.0",Nou,LA COMANDA -LIVRARE IN 4 ZILE,1081.0,"828,00"
Karcher - Pompa submersibila pentru apa murdara SP7 Dirt Inox,1.645-506.0,Cod de comanda: 1.645-506.0,Nou,,1016.0,"827,00"
Karcher - Aspirator vertical  VC 5 pe fir,1.349-100.0,"Mic, dar puternic: aspiratorul fara sac Karcher VC 5 , este compact si poate fi usor depozitat in cele mai mici locuri, dar curata la fel de eficient ca un aspoirator de dimensiuni obisnuite.,cod comanda: 1.349-100.0",Nou,In stoc ,1066.0,"825,00"
Karcher - Pompa submersibile pentru apa curata SP6 Flat Inox,1.645-505.0,"Ideal pentru max. 14000 litri de apa curata per ora: puternica pompa submersibila cu aspirare de 1 mm, SP 6 Flat inox cu sensor de nivel si comutator auto/manual. Include prefiltru.,cod comanda: 1.645-505.0",Nou,,972.0,"823,00"
Karcher - Masina de maturat S 4 twin,1.766-360.0,"Masina de maturat Karcher S 4 twin p,entru curatenie rapida si usoara, fara efort.,cod comanda: 1.766-360.0",Nou,,894.0,"822,00"
Karcher - WD 4 S V-20/6/22 CAR (YSY) *EU,1.628-259.0,"Super-puternicul aspirator uscat-umed WD 4 Car este ideal pentru curatarea masinii. Dotat cu perii speciale, cu un container de plastic de 20 de litri cat si cu un filtru plat pliat.,cod comanda:,1.628-259.0",Nou,La comanda ,1030.0,"820,00"
Karcher - Curatitor cu abur SC 3 Upright EasyFix,1.513-300.0,"Curățarea profundă fără grijă utilizând aburi. Aparatul de curatat cu abur SC 3 Upright EasyFix este extrem de ușor de utilizat pe podele dure. De asemenea, elimină 99,99% din bacteriile obișnuite.,cod comanda: 1.513-300.0",Nou,,1059.0,"818,00"
Karcher - Masina de maturat S 4 Twin 2in1,1.766-365.0,"Masina de maturat Karcher ,S 4 Twin 2in1, p,entru curatenie rapida si usoara, fara efort.,cod comanda: 1.766-365.0,ACEASTA VERSIUNE VINE IN PLUS CU PERII  PENTRU MATURARE UMED/USCATA ",Nou,IN STOC ,1097.0,"799,00"
Karcher - Aspirator uscat - umed KWD 5 S V-25/5/22 (BSY) *EU,1.628-482.0,"KWD 5 S V-2 5/5/22 (BSY) *EU este un aspirator multifunctional extrem de puternic si eficient cu un recipient din otel inoxidabil de 25 litri, filtru pliabil intr-un cartus detasabil, precum si functie de suflare .,Cod de comanda:1.628-482.0",Nou,in stoc ,1176.0,"795,00"
Karcher - Trimmer pentru gazon LTR 18-30 battery set,1.444-311.0,"Setul cu trimmerul pentru gazon cu acumulator LTR 18-30 Battery Set este varianta optimă pentru margini și colțuri. ,Setul include un acumulator și un încărcător rapid.,cod comanda: 1.444-311.0",Nou,La comanda,802.0,"764,00"
Karcher - Bp 3 garden set pompa pentru gradina,1.645-357.0,"Setul de gradina BP 3 Garden Set Plus este gata de utilizare imediat, datorita furtunului de aspirare si a celui de gradina. Pompa rezistenta si puternica de gradina este ideala pentru udare, folosind apa din rezervoare/ cisterne.,cod comanda: 1.645-357.0",Nou,LA COMANDA -LIVRARE IN 4 ZILE,920.0,"761,00"
Karcher - Foarfeca de tuns gardul viu HGE 36-60,1.444-250.0,"Foarfeca de tuns gardul viu cu acumulator HGE 36-60 Battery este prevăzută cu un mâner rotativ la 180°, o perie pentru gardul viu și funcție de reglare a vitezei pe două niveluri.,Foarfeca vine fara baterie si incarcator,cod comanda: 1.444-250.0",Nou,La comanda,856.0,"752,00"
Karcher - Curatitor cu abur SC 2 Deluxe EasyFix,1.513-243.0,"Modelul de baza pentru curățarea cu abur fără substanțe chimice. Aparatul de curatat cu abur Kärcher SC 2 Deluxe EasyFix cu manerul iluminat cu LED pentru afișarea modului de funcționare.,cod comanda: 1.513-243.0",Nou,In stoc,957.0,"740,00"
Karcher - Aspirator uscat - WD 4 S V-20/5/22 (YSY) *EU, 1.628-250.0,"Aspirator multifunctional WD 4 Premium. Puternic si eficient din punct de vedere energetic. Cu un recipient robust din otel inoxidabil de 20 litri, filtru pliabil in cartusul detasabil si pozitie de parcare pentru pauzele de lucru. Varianta Premium vine in plus cu recipientul de inox,Cod de comanda:,1.628-250.0",Nou,La comanda ,931.0,"740,00"
Karcher - ASPIRATOR CENUSA AD 4 EU-II PREMIUM,1.629-731.0,"Pentru indepartarea eficienta si sigura a cenusei fara a intra in contact cu aceasta: noul aspirator uscat pentru cenusa AD 4 Premium, cu o putere de 600 W, un recipient metalic rezistent de 17 litri, un filtru de curatare si o eficienta energetica clasa A+.,cod comanda: 1.629-731.0",Nou,la comanda ,925.0,"730,00"
Karcher - Cleste pentru crengi TLO battery 18 32,1.444-020.0,"Tăierea crengilor printr-o apăsare de buton: cleştele pentru crengi cu acumulator taie cu ușurință ramurile cu diametru de până la 3 cm.,Clestele vine fara baterie si incarcator,cod comanda: 1.444-020.0",Nou,La comanda,823.0,"720,00"
Karcher - K3 POWER CONTROL APARAT DE SPALAT CU PRESIUNE,1.676-100.0,"K 3 Power Control cu pistol de pulverizare G 120 Q Power Control. Consultant prin intermediul aplicației, care oferă sfaturi practice pentru rezultate de curățare și mai eficiente.,cod comanda: 1.676-100.0",Nou,In stoc ,1023.0,"710,00"
Karcher - CURATITOR CU APA PORTABIL CU ACUMULATOR OC 3+ PET,1.680-018.0,"Pentru curățarea cu blândețe a animalelor de companie: Aparatul de curățat cu presiune cu baterie ,Li-Ion, și cu rezervor de apă. Accesoriile pentru animalele de companie asigură îngrijirea completă.,cod comanda: ,1.680-018.0",Nou,La comanda,770.0,"700,00"
Karcher - CURATITOR CU APA PORTABIL CU ACUMULATOR OC 3+ BIKE,1.680-017.0,"Perfect pentru spălarea bicicletelor in calatorie: aparatul de spălat cu presiune cu baterie ,Li-Ion,, rezervor de apă și presiune scăzută pentru suprafețe sensibile. Include accesorii pentru biciclete.,cod comanda: 1.680-017.0",Nou,La comanda,770.0,"700,00"
Karcher - CURATITOR CU APA PORTABIL CU ACUMULATOR OC 3+ADVENTURE,1.680-016.0,"Ideal pentru curățarea echipamentelor exterioare in calatorie: aparatul de spălat cu presiune Kärcher cu baterie ,Li-Ion, și rezervor de apă,cod comanda: , ,1.680-016.0",Nou,La comanda,770.0,"700,00"
Karcher - Carucior metalic pentru furtun HT 80 M / Set,2.645-043.0,"Cadru metalic robust si anticorosiv si retractor. Maner ergonomic, antialunecare. Cu ghidaj pentru furtun si furca de impingere rabatabila. Manivela detasabila pentru o desfasurare si infasurare usoara. Se livreaza nemontat. Dotat cu furtun 1/2"" de 20 m, varf de reglare, 3 cuplaje universale pentru furtun Plus, 1 cuplaj universal pentru furtun Plus cu Aquastop si 1 racord pentru robinet G3/4. Cod de comanda:2.645-043.0",Nou,La comanda,790.0,"700,00"
Karcher - Ferastrau cu brat telescopic PSW 18 20,1.444-010.0,"Ferăstrăul cu braț telescopic PSW 18-20 Battery taie cu ușurință orice creangă până la înălțimi de 4 metri. Pentru o întreținere sigură a copacilor.,Ferăstrăul vine fara baterie si incarcator,cod comanda: 1.444-010.0",Nou,La comanda,811.0,"693,00"
Karcher - Masina de maturat S 4,1.766-320.0,"Masina de maturat Karcher S 4 p,entru curatenie rapida si usoara, fara efort.,cod comanda: 1.766-320.0",Nou,,750.0,"688,00"
Karcher - ASPIRATOR PENTRU GEAMURI WV 6 + KV 4,1.633-570.0,"Curățați ferestrele în cel mai scurt timp. Aparatul de șters cu vibrații KV 4 distribuie apa electric și vibrează, astfel îndepărtează murdăria și WV 6 aspira lichidul.,cod comanda: ,1.633-570.0",Nou,La comanda,892.0,"683,00"
Karcher - Aspirator uscat VC 2 FILTRU HEPA,1.198-105.0,"Ideal pentru apartamente sau case mai mici : Compact si usor de utilizat, aspiratorul cu sac, Karcher VC 2,cod comanda: 1.198-105.0",Nou,,875.0,"675,00"
Karcher - APARAT DE SPALAT CU PRESIUNE K 2 PREMIUM POWER CONTROL,1.673-630.0,"K 2 Premium Power Control apart de spalat cu presiune cu rezervor de detergent pentru murdărie ușoară. Cu sfaturi utile de curățare prin intermediul aplicației.,cod comanda: 1.673-630.0,Varianta Premium vine in plus cu:,Rezervorul de detergent foarte practic care faciliteaza aplicarea detergenților pe suprafețele dorite.",Nou,La comanda,865.0,"670,00"
Karcher - Foarfeca de tuns gardul viu cu prelungitor HGE 18-45,1.444-210.0,"Foarfeca de tuns gardul viu cu prelungitor PHG 18-45 Battery înlătură necesitatea unei scări atunci când vine vorba de garduri înalte. Capul de tăiere reglabil permite o flexibilitate ridicată.,Foarfeca vine fara baterie si incarcator,cod comanda: 1.444-210.0",Nou,La comanda,715.0,"670,00"
Karcher - APARAT DE SPALAT CU PRESIUNE K MINI,1.600-054.0,"Cel mai mic aparat de spălat cu presiune de la Kärcher îndepărtează murdăria în cel mai scurt timp și datorită dimensiunilor practice, poate fi transportat și depozitat cu ușurință.,cod comanda: ,1.600-054.0",Nou,La comanda,688.0,"665,00"
Karcher - Curatitor cu apa portabil cu acumulator OC 3 PLUS,1.680-030.0,"Aparatul de spălat cu presiune Kärcher cu baterie ,Li-Ion, și rezervor de apă pentru aplicații mobile. Ușor de transportat și depozitat. Cu jet de apa plat pentru suprafețe delicate.,cod comanda: 1.680-030.0,Varianta plus vine cu : rezervor de 7L",Nou,La comanda,721.0,"660,00"
Karcher - Aspirator uscat  VC 3 FILTRU HEPA,1.198-125.0,"Va scuteste de inlocuirea sacilor si de cumpararea altora noi: VC 3 Premium, aspirator cu tehnologie cyclone si cu cos colector transparent ce poate fi spalat.,cod comanda: 1.198-125.0",Nou,,855.0,"660,00"
Karcher - Pompa submersibila pentru apa murdara SP7 Dirt,1.645-504.0,"15500 litri pe ora, rezistenta si fiabila: pompa submersibila de apa murdara cu prefiltru integrat si intrerupator flotor reglabil pe inaltime pentru o mai mare flexibilitate,cod comanda: 1.645-504.0",Nou,,799.0,"650,00"
Karcher - Aparat de spalat cu acumulator OC 3,1.680-015.0,"Aparatul de spalat Karcher OC 3 cu acumulator litiu-ion si rezervor de apa pentru aplicatii mobile. Usor de transportat si depozitat. Cu jet plat pentru curatarea suprafetelor delicate.,cod comanda: 1.680-015.0",Nou,La comanda,687.0,"630,00"
Karcher - Curatitor cu abur SC2 Easyfix,1.512-050.0,"Aparatul de curatat cu abur Kärcher SC 2 este perfect pentru curatarea fara substante chimice, igienizand suprafetele dure din casa.,cod comanda: 1.512-050.0",Nou,In stoc ,659.0,"630,00"
Karcher - Bp 1 SET POMPA DE BUTOI,1.645-465.0,"BP 1 Barrel Set - inovator: Pompa cilindrica cu comutator pornit / oprit direct pe marginea tamburului. Gata de utilizare imediat, datorită furtunului de gradina suplimentar pentru udare convenabila, cu apă de ploaie.,cod comanda: ,1.645-465.0",Nou,LA COMANDA -LIVRARE IN 4 ZILE,810.0,"625,00"
Karcher - Curatitor cu apa sub presiune Kärcher K3,1.601-888.0,"Presiune ideală pentru folosirea ocazională si murdărie ușoară. ,Presiune : 120 de bari,Pentru curatarea cu spuma puternica va recomandam sa achizitionati accesoriul Fj 6 (Pentru autoturisme, motociclete, etc. ),click aici pentru naviga spre produs!,cod comanda : 1.601-888.0",Nou,in stoc ,845.0,"620,00"
Karcher - Aspirator pentru geamuri profesional WV 10,1.633-550.0,"Multumita design-ului inovator, noul model profesional de aspirator de geamuri, WVP 10, curata fara restrictii suprafetele plate si netede pe verticala, orizontala cat si deasupra capului.,cod comanda: , 1.633-550.0",Nou,In stoc ,776.0,"610,00"
Karcher - Motocoasa GBC 52,GBC52,"Se utilizează în principal pentru tăierea suprafețelor neuniforme .,cod comanda: ,GBC52",Nou,,950.0,"600,00"
Karcher - Trimmer pentru gazon LTR 18-25 battery set,1.444-301.0,"Trimmerul pentru gazon cu acumulator LTR 18-25.  Ușor, ergonomic și simplu de utilizat.,Battery set include un acumulator și un încărcător.,cod comanda: 1.444-301.0",Nou,La comanda,653.0,"598,00"
Karcher - BP 3 garden pompa pentru gradina,1.645-351.0,"Pompa de gradina rezistenta si puternica BP 3 Garden este perfecta pentru udarea ecologica si economica a gradinii folosind apa din surse alternative, cum ar fi cisterne sau rezervoare.,cod comanda: ,1.645-351.0",Nou,IN STOC ,762.0,"589,00"
Karcher - Curatitor cu apa sub presiune K2 Compact Home,1.673-503.0,"Aparatul de spalat cu presiune Karcher K 2 Compact Home este ideal pentru îndepărtarea murdăriei normale, ușor de depozitat și transportat și include un Kit Home cu agent de curățare a teraselor ""Patio & Deck"" si accesoriul T 150,cod comanda: 1.673-503.0",Nou,Produsul nu mai este disponibil,752.0,"580,00"
Karcher - Aspirator cenusa Karcher AD 2 EU, 1.629-711.0,"Noul aspirator uscat pentru cenusa, cu o putere de 600 W si un recipient metalic rezistent de 14 litri. Ideal pentru indepartarea eficienta si sigura a cenusei.,cod comanda: ,1.629-711.0",Nou,La comanda ,744.0,"575,00"
Karcher - Pompa submersibila pentru apa murdara Sp5 box,1.645-507.0,"Pompa submersibila Pump Box pentru ugente ca inundatii sau maree: cu pompa de apa murdara, furtun de tesatura si carcasa de transport cu ochiuri ce poate fi utilizata ca prefiltru.,cod comanda: 1.645-507.0",Nou,,633.0,"568,00"
Karcher - APARAT DE SPALAT CU PRESIUNE K2 POWER CONTROL,1.673-600.0,"K2 Power Control pentru curățarea bicicletelor, uneltelor de grădină sau a mobilierului de grădină. Consultant prin intermediul aplicației Kärcher Home & Garden,cod comanda: ,1.673-600.0",Nou,La comanda,710.0,"560,00"
Karcher - Pompa submersibila pentru apa murdara SP5 Dual,1.645-580.0,"Pompeaza apa curata sau murdara pana la 9500l/h. Robusta pana in cel mai mic detaliu, pompa submersibila SP 5 Dual are functie 2-in-1 putand evacua apa pana la nivelul de 1mm.,cod comanda: 1.645-580.0",Nou,,650.0,"555,00"
Karcher - Furtun Primo Flex® Plus (3/4'' - 50m),2.645-149.0,"50 m de furtun de gradina de calitate plus PrimoFlex® ce contine fibre DuPontTM Kevlar® (3/4""). Rezistent la presiune, impletitura consolidata. Nu este daunator pentru sanatate. Presiune exploziva: 45 bari. Interval de temperatura de operare extins de la -20 la 65ºC.,Cod de comanda:2.645-149.0",Nou,,560.0,"554,13"
Karcher - Bp 2 Pompa de irigare pentru casa si gradina,1.645-350.0,"Puternica si rezistenta: pompa de gradina BP 2 Garden este solutia ideala de nivel incepator pentru udarea ecologica a gradinii folosind surse alternative de apa cum ar fi cisterne, rezervoare, etc.,cod comanda:,1.645-350.0",Nou,,618.0,"540,00"
Karcher - Aspirator uscat - WD 3 S V-17/4/20 (YSY) *EU,1.628-135.0,"Aspiratorul multifunctional WD 3 Premium este echipat cu un container de 17 litri din otel inoxidabil, robust si rezistent la coroziune, un filtru cu cartus precum si accesorii noi.,Varianta premium vine in plus cu recipientul de inox ,Cod de comanda:1.629-863.0",Nou,,660.0,"539,00"
MAKITA POMPA SUBMERSIBILA PF1110,PF1110 ,PF1110 - Pompă sumersibilă 1100W 15000 l/h Pompă submersibilă pentru apă murdară ideală pentru golirea apei murdare din iazuri de grădină și bazine mari.,Nou,Produsul nu mai este disponibil,797.0,"535,00"
Karcher - Aspirator de geamuri WV5 PREMIUM Non Stop Cleaning Kit *EU,1.633-447.0,Cod de comanda: 1.633-447.0,Nou,in stoc ,668.0,"530,00"
Karcher - Foarfeca de tuns gardul viu HGE 18-45,1.444-230.0,"Greutate redusă pentru o muncă fără efort: foarfeca de tuns gardul viu cu acumulator HGE 18-45 Battery cu lamă diamantată pentru o tăiere precisă.,Foarfeca vine fara baterie si acumulator,cod comanda: 1.444-230.0",Nou,La comanda,593.0,"523,00"
Karcher - Foarfeca de tuns iarba si gardul viu GSH 18 20,1.444-200.0,"Foarfeca de tuns iarba și gardul viu cu acumulator GSH 18-20 Battery este ideală pentru a tăia cu precizie iarba de pe margini și pentru a da formă arbuștilor.,Foarfeca vine fara baterie si incarcator,cod comanda: 1.444-200.0",Nou,La comanda,595.0,"507,00"
Karcher - ASPIRATOR PENTRU GEAMURI WV 1 + KV 4,1.633-209.0,"Curățarea geamurilor nu a fost niciodată atât de ușoară: mai întâi, îndepărtați murdăria folosind aparatul de sters suprafetele netede, KV 4 cu vibratii care distribuie apa electric și apoi aspirați apa murdară folosind aspiratorul de geamuri WV 1.,cod comanda: 1.633-209.0",Nou,,666.0,"498,00"
Karcher - Trimmer pentru gazon LTR 36-33,1.444-350.0,"Iarba și buruienile greu de îndepărtat nu au nicio șansă în fața trimmerului pentru gazon LTR 36-33 Battery.,Masina vine fara baterie si incarcator,cod comanda: 1.444-350.0",Nou,La comanda,606.0,"498,00"
Karcher - Suflanta pentru frunze LBL 4,1.445-150.0,"Puternică și mobilă: Suflanta de frunze fără fir de 36 V, cu reglarea puterii în 2 trepte, atinge o viteză a aerului de max. 250 km / h.,Suflanta vine fara baterie si incarcator,cod comanda: 1.445-150.0",Nou,La comanda,571.0,"490,00"
Karcher - Furtun Primo Flex® Premium (1/2'' - 50m),2.645-151.0,"50 m de furtun de gradina de calitate Premium PrimoFlex® ce contine fibre DuPontTM Kevlar® (1/2""). Tehnologie dublu-consolidata brevetata. Nu este daunator pentru sanatate. Presiune exploziva: 50 bari. Interval de temperatura de la -20 la 65ºC.,Cod de comanda:2.645-151.0",Nou,La comanda ,490.0,"481,60"
Karcher - Pompa submersibila pentru apa murdara SP5 Dirt,1.645-503.0,"Pompeaza rapid si transporta pana la 9500 litri de apa murdara pe ora: cu rezistenta pompa de apa murdara SP 5 Dirt cu intrerupator flotor reglabil pe inaltime pentru o mai mare flexibilitate,cod comanda: 1.645-503.0",Nou,IN STOC ,590.0,"480,00"
Karcher - Aparat pentru indepartarea buruienilor WRE 5,1.445-244.0,"Pentru îndepărtarea mușchiului și a buruienilor de pe suprafețele dure - aparatul pentru îndepărtarea buruienilor WRE 18-55 are o perie inovatoare care se schimbă ușor, fără unelte.,Masina vine fara baterie si incarcator,cod comanda: 1.445-244.0",Nou,La comanda,598.0,"477,00"
Karcher - KWD 3 INOX   *EU,1.628-446.0,"Aspiratorul multifunctional KWD 3 INOX  puternic si eficient din punct de vedere energetic este echipat cu un recipient din plastic de 17 litri, un filtru pentru apa , precum si accesorii noi.,Cod de comanda:1.628-446.0,VARIANTA CU CUVA DE INOX ARE FILTRU INCLUS SI 5 SACI ",Nou,IN TOC ,570.0,"460,00"
